UnitID,InstitutionName,Control,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,TotalEnrollment,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV
206817,Bacone College,2,7529,6842,9469,8935,4682,3898,5550,7653,5567,5948,231,17700,17700,14850,14500,14050,14050,13510,12900,12300,11700
206914,Cameron University,1,6651,6831,6971,7065,7059,7140,7139,6781,6272,4871,3130,6450,6180,5970,5580,5340,5055,4770,4590,4336,4110
206923,Carl Albert State College,1,4947,4746,4239,4280,4034,3553,3781,3679,3734,4016,1360,3687,3412,3160,3011,3003,2808,2664,2332,2216,2104
206996,Connors State College,1,6222,5721,4545,4692,4706,4650,4893,4786,4868,4922,1533,3600,3512,3210,2990,3563,3352,2539,2287,2091,2091
207041,East Central University,1,6635,6572,6865,6291,6208,6351,6488,6848,6848,2542,2619,6810,6600,6279,5874,5599,5241,4957,4703,4482,4271
207050,Eastern Oklahoma State College,1,6187,6010,6377,7514,6755,3335,4027,4239,5900,5811,1030,4572,4572,4224,3947,3766,3528,3200,3200,3006,2856
443058,Family of Faith Christian University,2,3979,7446,6100,7949,5515,5330,6447,3093,6508,7427,10,6570,6570,6220,6070,6120,5970,5610,5460,5310,5110
207209,Langston University,1,8998,9089,8739,9357,8335,8125,8010,8332,8763,7200,1884,6226,5936,5734,5042,4603,3815,4255,4112,3974,3827
245953,Mid-America Christian University,2,9284,8723,7556,8735,10901,6041,8359,5281,7990,8451,1132,19604,17830,17132,16798,16230,15688,15092,14830,14080,13430
207236,Murray State College,1,2711,3424,8955,6543,5991,6531,6482,6109,5792,4431,1439,6010,5050,4638,4340,4148,4134,4036,3200,2990,2840
207290,Northeastern Oklahoma A&M College,1,5655,5746,5688,5586,5587,5450,5575,5649,5253,3757,1616,4758,4448,4178,3832,3772,3525,3194,3040,2778,2640
207263,Northeastern State University,1,6561,6626,6471,7206,6541,6482,6748,6741,6226,7346,5426,6650,6327,6207,5547,5285,4992,4857,4602,4385,4155
207281,Northern Oklahoma College,1,4610,4680,4682,4571,4446,4147,4865,5100,5166,5180,2515,4170,3865,3675,3454,3219,3019,2845,2670,2526,2303
207306,Northwestern Oklahoma State University,1,5930,5580,5676,5539,5000,4911,5072,5215,4941,4843,1562,7471,7066,6690,6112,5843,5642,5347,4968,4479,4247
207403,Oklahoma Baptist University,2,8899,6736,7356,8931,6617,7700,7599,6695,6449,4587,1777,28258,26840,25310,24000,22800,21842,20796,19756,18608,17562
207324,Oklahoma Christian University,2,6531,6992,6931,6767,6810,7003,7302,7225,6998,7042,1800,22760,21670,20840,19890,19120,18800,18800,18456,17456,16366
207449,Oklahoma City Community College,1,4197,4334,4102,4561,3916,3742,3909,5301,5805,6280,7407,4059,3909,3727,3391,3241,3091,2974,2850,2659,2521
207458,Oklahoma City University,2,7210,6623,7838,7789,8123,8224,8435,8332,7720,7058,1719,31026,30726,30726,30726,30726,29426,27500,27500,25760,23950
207351,Oklahoma Panhandle State University,1,5858,5679,5633,6538,6785,6053,6131,8787,5997,5788,1064,7930,6196,7294,7461,7137,6739,6390,5704,4894,4241
207564,Oklahoma State University Institute of Technology,1,6015,6204,5597,5343,5149,6387,4796,4922,4740,6056,2338,5550,5250,5100,4860,4605,4395,4215,4050,3795,3705
207388,Oklahoma State University-Main Campus,1,6390,6601,6649,6680,6640,6722,6725,6751,6729,6604,18975,9019,8738,8321,7778,7442,7442,7442,7107,6779,6202
207397,Oklahoma State University-Oklahoma City,1,7049,3796,6494,11815,6167,6395,6324,3724,6324,7643,3451,4498,3836,3634,2859,2859,2661,2661,2559,2419,2336
206835,Oklahoma Wesleyan University,2,7188,6998,7225,11366,7883,7950,8758,8063,8082,9163,813,27136,26090,25070,24108,23180,22252,21140,20160,19200,17970
207582,Oral Roberts University,2,8651,9971,9680,10055,10380,10333,10096,9792,10036,10200,3170,27728,26792,25676,24792,23410,22508,21576,20756,20054,19106
207157,Randall University,2,6795,7388,9425,8967,8718,6843,7464,7433,6900,7351,288,15108,13640,13040,12340,11980,11600,10926,10640,10600,9900
207069,Redlands Community College,1,4846,5138,5042,4475,4786,4353,5220,5056,4330,4543,1101,5300,4962,4154,3882,3701,3495,3330,3180,3030,2903
207661,Rogers State University,1,6752,5873,6526,5865,5134,5053,6081,6217,6299,6094,2675,7200,6870,6540,6009,5725,5349,5047,4777,4513,4277
207670,Rose State College,1,4070,4133,4017,4239,4285,4371,4573,4934,4925,4422,4190,4319,4124,3808,3375,3225,3104,2955,2835,2660,2490
207740,Seminole State College,1,5642,5559,5463,5644,5560,3169,5802,5854,5750,5241,1152,5040,4440,4140,3808,3630,3425,3330,3231,3000,2848
207847,Southeastern Oklahoma State University,1,6764,6414,5175,5681,6087,5836,5879,6015,5558,5002,2616,6750,6750,6450,5975,5688,5315,5060,4904,4652,4416
206862,Southern Nazarene University,2,7994,7849,9711,7462,7946,9898,6912,6903,8093,10948,1413,25234,25178,24468,23320,22690,22044,21174,19794,18354,17664
207856,Southwestern Christian University,2,7048,9156,9477,4838,11431,8223,4270,7776,3614,6558,435,15080,13880,13080,12830,12470,14220,14025,12350,10700,10700
207865,Southwestern Oklahoma State University,1,6344,6207,5374,5520,5256,5538,6069,6190,6346,6013,3787,7335,7005,6690,6090,5820,5460,5175,4800,4335,4110
207254,Spartan College of Aeronautics and Technology,3,8856,11301,11966,8363,7420,6040,9093,9147,9744,11409,1203,17702,17975,16395,16395,16395,15915,15450,15000,15000,14570
207935,Tulsa Community College,1,5603,6088,5794,5738,5740,5557,4558,4674,4698,3176,9848,3349,3221,3071,2900,2820,2606,2546,2450,2313,2204
206941,University of Central Oklahoma,1,7464,7559,7134,7198,7374,7243,7360,7737,7714,4173,11248,7489,7100,6699,6096,5806,5437,5092,4718,4456,4223
207500,University of Oklahoma-Norman Campus,1,6614,6930,6991,6928,7015,7070,7011,7172,7079,8332,20292,11538,11538,10881,10090,9495,8916,8706,8325,7864,7483
207722,University of Science and Arts of Oklahoma,1,6185,4890,6478,6366,6306,6258,7051,6668,6723,6461,691,7200,7200,7200,6270,6270,4866,4320,3744,3744,3552
207971,University of Tulsa,2,11174,11659,8182,8031,7819,8907,8597,7476,7607,7044,3297,41509,41509,41509,39521,35855,34835,33095,31551,28735,27237
208035,Western Oklahoma State College,1,5014,5181,4890,5110,4774,4911,4878,5469,5433,4723,848,4662,3878,3561,3196,3096,3000,3097,2964,2750,2750
